20220601 035500;1.071600;1.071980;1.071580;1.071790;0
20220601 035600;1.071800;1.071800;1.071500;1.071620;0
20220601 035700;1.071620;1.071630;1.071490;1.071510;0
20220601 035800;1.071510;1.071640;1.071360;1.071640;0
20220601 035900;1.071640;1.071640;1.071420;1.071500;0
20220601 040000;1.071450;1.071520;1.071370;1.071420;0
20220601 040100;1.071410;1.071630;1.071370;1.071580;0
20220601 040200;1.071570;1.071740;1.071570;1.071670;0
20220601 040300;1.071690;1.072120;1.071690;1.072120;0
20220601 040400;1.072120;1.072260;1.072100;1.072140;0
20220601 040500;1.072130;1.072680;1.072040;1.072660;0
20220601 040600;1.072670;1.073930;1.072470;1.073400;0
20220601 040700;1.073400;1.073400;1.072630;1.072710;0
20220601 040800;1.072700;1.072820;1.072610;1.072690;0
20220601 040900;1.072680;1.073330;1.072670;1.073160;0
20220601 041000;1.073160;1.073220;1.073010;1.073220;0
20220601 041100;1.073210;1.073210;1.072920;1.073150;0
20220601 041200;1.073160;1.073340;1.073150;1.073250;0
20220601 041300;1.073250;1.073250;1.072860;1.072890;0
20220601 041400;1.072930;1.073100;1.072710;1.072730;0
20220601 041500;1.072710;1.072720;1.072460;1.072500;0
20220601 041600;1.072490;1.072760;1.072490;1.072760;0
20220601 041700;1.072760;1.072780;1.072640;1.072670;0
20220601 041800;1.072660;1.072670;1.072550;1.072600;0
20220601 041900;1.072580;1.072640;1.072490;1.072500;0
20220601 042000;1.072450;1.072450;1.072030;1.072030;0
20220601 042100;1.072010;1.072350;1.072010;1.072270;0
20220601 042200;1.072280;1.072310;1.072020;1.072040;0
20220601 042300;1.072070;1.072270;1.072070;1.072220;0
20220601 042400;1.072220;1.072370;1.072110;1.072340;0
20220601 042500;1.072350;1.072400;1.072330;1.072370;0
20220601 042600;1.072380;1.072570;1.072340;1.072540;0
20220601 042700;1.072550;1.072690;1.072530;1.072580;0
20220601 042800;1.072550;1.072580;1.072420;1.072470;0
20220601 042900;1.072470;1.072590;1.072420;1.072530;0
20220601 043000;1.072540;1.072640;1.072470;1.072580;0
20220601 043100;1.072540;1.072540;1.072370;1.072410;0
20220601 043200;1.072400;1.072780;1.072390;1.072770;0
20220601 043300;1.072770;1.072820;1.072570;1.072750;0
20220601 043400;1.072750;1.072750;1.072640;1.072650;0
20220601 043500;1.072650;1.072940;1.072600;1.072940;0
20220601 043600;1.072960;1.073060;1.072960;1.072980;0
20220601 043700;1.072980;1.073000;1.072780;1.072970;0
20220601 043800;1.072960;1.072970;1.072270;1.072290;0
20220601 043900;1.072270;1.072570;1.072190;1.072470;0
20220601 044000;1.072480;1.072600;1.072420;1.072470;0
20220601 044100;1.072450;1.072520;1.072350;1.072370;0
20220601 044200;1.072360;1.072470;1.072310;1.072320;0
20220601 044300;1.072360;1.072360;1.072210;1.072210;0
20220601 044400;1.072220;1.072220;1.072120;1.072150;0
20220601 044500;1.072140;1.072210;1.072080;1.072110;0
20220601 044600;1.072100;1.072140;1.071950;1.071960;0
20220601 044700;1.071980;1.072060;1.071960;1.072000;0
20220601 044800;1.072000;1.072070;1.071960;1.071970;0
20220601 044900;1.071960;1.072130;1.071950;1.071980;0
20220601 045000;1.071960;1.072040;1.071890;1.071900;0
20220601 045100;1.071870;1.072040;1.071720;1.072020;0
20220601 045200;1.072030;1.072200;1.072000;1.072010;0
20220601 045300;1.072020;1.072170;1.072020;1.072160;0
20220601 045400;1.072170;1.072230;1.072120;1.072120;0
20220601 045500;1.072100;1.072140;1.072030;1.072030;0
